epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1.31589,2.25014,3.22442,2.00874,0.01167,0.58333,0.11756,0.03639,2.30998,3.23935,2.38428,0,0,0
2,2.43716,2.10732,2.92638,2.13497,0.01167,0.58333,0.12121,0.03759,2.28471,3.21075,2.34831,1.9604e-05,1.9604e-05,1.9604e-05
3,3.54887,2.25582,3.24419,2.19845,0.01333,0.66667,0.1281,0.04046,2.3183,3.17815,2.32456,3.8416e-05,3.8416e-05,3.8416e-05
4,4.81787,2.34265,3.28154,2.07847,0.015,0.75,0.08761,0.03252,2.28116,3.15862,2.27515,5.6436e-05,5.6436e-05,5.6436e-05
5,6.27028,2.11111,2.90298,2.05861,0.015,0.75,0.09945,0.03938,2.20797,3.14058,2.20784,7.3664e-05,7.3664e-05,7.3664e-05
6,7.36496,2.083,3.12543,2.01553,0.01333,0.66667,0.14365,0.05307,2.22953,3.13097,2.2046,9.01e-05,9.01e-05,9.01e-05
7,8.44695,2.16398,3.25256,2.0064,0.01333,0.66667,0.17239,0.06585,2.17356,3.09367,2.13126,0.000105744,0.000105744,0.000105744
8,9.56293,2.08267,3.00338,1.98738,0.01333,0.66667,0.22024,0.0884,2.07558,3.06591,2.07523,0.000120596,0.000120596,0.000120596
9,10.5963,2.14579,3.00968,1.9304,0.01333,0.66667,0.22024,0.0884,2.07558,3.06591,2.07523,0.000134656,0.000134656,0.000134656
10,11.658,1.99031,2.83974,1.88705,0.01333,0.66667,0.2393,0.10212,2.03936,2.98182,1.99195,0.000147924,0.000147924,0.000147924
11,12.6751,1.73437,2.79838,1.71025,0.01333,0.66667,0.2393,0.10212,2.03936,2.98182,1.99195,0.0001604,0.0001604,0.0001604
12,13.8136,2.0274,2.87199,1.84673,0.015,0.75,0.314,0.11651,2.02002,2.93369,1.94709,0.000172084,0.000172084,0.000172084
13,14.8339,1.86987,2.83126,1.61053,0.015,0.75,0.314,0.11651,2.02002,2.93369,1.94709,0.000182976,0.000182976,0.000182976
14,15.8733,1.80505,2.6503,1.66502,0.01333,0.66667,0.26403,0.10716,2.16304,2.91913,2.042,0.000193076,0.000193076,0.000193076
15,16.8857,1.78345,2.63135,1.72416,0.01333,0.66667,0.26403,0.10716,2.16304,2.91913,2.042,0.000202384,0.000202384,0.000202384
16,17.9038,1.90298,2.43188,1.76355,0.01333,0.66667,0.28949,0.12279,2.17163,2.88273,2.05512,0.0002109,0.0002109,0.0002109
17,18.9203,1.74549,2.21681,1.84644,0.01333,0.66667,0.28949,0.12279,2.17163,2.88273,2.05512,0.000218624,0.000218624,0.000218624
18,19.9795,1.93391,2.36674,1.87054,0.01333,0.66667,0.34634,0.14003,2.19214,2.8085,2.0368,0.000225556,0.000225556,0.000225556
